2025-12-19 00:45:28.424 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:45:28.709 [main] WARN  [i.n.resolver.dns.DnsServerAddressStreamProviders] - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
2025-12-19 00:45:28.829 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2025-12-19 00:45:28.829 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2025-12-19 00:45:28.918 [scheduling-1] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:46:25.062 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:46:25.371 [main] WARN  [i.n.resolver.dns.DnsServerAddressStreamProviders] - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
2025-12-19 00:46:25.554 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2025-12-19 00:46:25.554 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2025-12-19 00:46:25.645 [scheduling-1] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:47:39.889 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:47:40.208 [main] WARN  [i.n.resolver.dns.DnsServerAddressStreamProviders] - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
2025-12-19 00:48:16.405 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:48:16.699 [main] WARN  [i.n.resolver.dns.DnsServerAddressStreamProviders] - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
2025-12-19 00:48:16.896 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2025-12-19 00:48:16.896 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2025-12-19 00:48:16.995 [scheduling-1] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:49:03.898 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:49:04.206 [main] WARN  [i.n.resolver.dns.DnsServerAddressStreamProviders] - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
2025-12-19 00:49:04.386 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2025-12-19 00:49:04.387 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2025-12-19 00:49:04.480 [scheduling-1] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:49:58.137 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:49:58.464 [main] WARN  [i.n.resolver.dns.DnsServerAddressStreamProviders] - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
